transaction_type,transaction_amount,second_party,last_four_digits,transaction_timestamp,transaction_category
1,30.0,Rockey,5801.0,2022-10-19 20:55:48+05:30,Other
1,5.0,,5801.0,2022-10-19 20:54:28+05:30,
1,73.0,,5801.0,2022-10-19 20:31:38+05:30,
0,3.0,,,2022-10-19 13:02:40+05:30,
1,73.0,Rockey,5801.0,2022-10-19 13:01:57+05:30,Other
1,80.0,,5801.0,2022-10-19 11:17:26+05:30,
2,80.0,,,2022-10-19 11:16:58+05:30,
1,20.0,Sp Dutta,5801.0,2022-10-18 14:33:32+05:30,Other
1,25.0,DEBRAJ CHATTERJ,5801.0,2022-10-18 10:17:28+05:30,Other
1,63.0,AFROZ AHMED,5801.0,2022-10-17 14:26:54+05:30,Other
1,40.0,,5801.0,2022-10-17 11:58:34+05:30,
1,109.0,DEBRAJ CHATTERJ,5801.0,2022-10-17 11:12:27+05:30,Other
1,4148.0,MIR,5801.0,2022-10-16 22:02:44+05:30,Food-Joints
0,1383.0,,,2022-10-16 22:02:33+05:30,
0,1383.0,,,2022-10-16 22:02:27+05:30,
1,20.0,,5801.0,2022-10-16 17:54:34+05:30,
1,430.0,HERITAGE ANNEX,5801.0,2022-10-16 17:49:29+05:30,Other
1,82.0,Rockey,5801.0,2022-10-16 16:52:30+05:30,Other
1,77.0,,,2022-10-16 16:52:03+05:30,
1,500.0,VISTAPRINT,5801.0,2022-10-16 16:19:23+05:30,E-commerce
1,72.0,Rockey,5801.0,2022-10-15 16:59:31+05:30,Other
1,20.0,,5801.0,2022-10-14 23:36:58+05:30,
1,571.0,Razorpay Software Private Limited,5801.0,2022-10-14 18:11:48+05:30,Bill
1,37.0,JOGA BEHERA,5801.0,2022-10-14 18:06:37+05:30,Other
1,20.0,Rockey,5801.0,2022-10-14 13:53:35+05:30,Other
2,80.0,,5801.0,2022-10-14 13:27:33+05:30,
1,60.0,DEBRAJ CHATTERJ,5801.0,2022-10-14 12:13:15+05:30,Other
1,169.0,YesBank,5801.0,2022-10-14 02:09:47+05:30,Apparel
1,40.0,Manoj Canteen,5801.0,2022-10-13 21:54:37+05:30,Food-Joints
1,10.0,,5801.0,2022-10-13 13:57:52+05:30,
1,70.0,Rockey,5801.0,2022-10-13 13:25:51+05:30,Other
1,78.0,,5801.0,2022-10-13 12:48:25+05:30,
1,40.0,,5801.0,2022-10-12 20:59:06+05:30,
1,43.0,Rockey,5801.0,2022-10-12 13:15:24+05:30,Other
1,30.0,Taste Imege,5801.0,2022-10-11 23:52:01+05:30,Food-Joints
1,27.0,JOGA BEHERA,5801.0,2022-10-11 16:29:15+05:30,Other
1,60.0,JOGA BEHERA,5801.0,2022-10-11 16:26:11+05:30,Other
1,25.0,HOT AND SPICK,5801.0,2022-10-11 16:22:44+05:30,Apparel
1,58.0,,5801.0,2022-10-10 21:11:25+05:30,
2,50.0,,5801.0,2022-10-10 13:21:57+05:30,
1,120.0,NURUN NISHA,5801.0,2022-10-09 21:33:06+05:30,Other
1,830.0,BP Petrol Pump Bilimoria Brothers,5801.0,2022-10-09 19:32:49+05:30,Other
1,830.0,,,2022-10-09 19:32:46+05:30,
1,112.15,IRCTC Web UPI,5801.0,2022-10-08 11:23:10+05:30,Travel
1,138.82,ixigo,5801.0,2022-10-08 11:16:12+05:30,E-commerce
1,1061.0,GOURMET VENTURE A,5801.0,2022-10-06 14:34:53+05:30,Other
1,1060.85,Zomato Online Order,5801.0,2022-10-01 11:21:53+05:30,Food
2,250.0,,5801.0,2022-09-30 15:35:50+05:30,
1,10.0,,5801.0,2022-09-30 08:46:09+05:30,
1,10.0,,5801.0,2022-09-30 02:27:29+05:30,
1,20.0,NURUN NISHA,5801.0,2022-09-29 21:11:02+05:30,Other
1,15.0,HOT AND SPICK,5801.0,2022-09-29 17:24:12+05:30,Apparel
1,25.0,HOT AND SPICK,5801.0,2022-09-29 17:17:56+05:30,Apparel
1,20.0,DEBRAJ CHATTERJ,5801.0,2022-09-29 13:11:27+05:30,Other
1,20.0,Rockey,5801.0,2022-09-29 13:00:18+05:30,Other
1,80.0,Rockey,5801.0,2022-09-29 12:59:24+05:30,Other
1,40.0,NURUN NISHA,5801.0,2022-09-28 21:05:20+05:30,Other
1,55.0,,5801.0,2022-09-28 20:59:37+05:30,
1,43.0,,5801.0,2022-09-28 20:22:18+05:30,
2,400.0,,5801.0,2022-09-28 14:29:29+05:30,
1,96.0,Rockey,5801.0,2022-09-27 12:37:42+05:30,Other
1,504.0,SHARMA FOODS,5801.0,2022-09-26 21:34:23+05:30,Food-Joints
1,30.0,NURUN NISHA,5801.0,2022-09-26 12:45:33+05:30,Other
1,92.0,Rockey,5801.0,2022-09-26 12:23:15+05:30,Other
2,1191.0,,5801.0,2022-09-25 23:05:28+05:30,
1,51.0,,5801.0,2022-09-25 21:37:46+05:30,
1,288.0,,5801.0,2022-09-25 20:37:44+05:30,
1,58.0,Rockey,5801.0,2022-09-25 11:05:25+05:30,Other
1,60.0,HOT AND SPICK,5801.0,2022-09-24 22:07:03+05:30,Apparel
1,180.0,HOT AND SPICK,5801.0,2022-09-24 21:41:03+05:30,Apparel
1,57.0,Sp Dutta,5801.0,2022-09-24 17:29:58+05:30,Other
1,35.0,Sp Dutta,5801.0,2022-09-24 17:21:18+05:30,Other
1,35.0,HOT AND SPICK,5801.0,2022-09-24 17:17:47+05:30,Apparel
1,57.0,Rockey,5801.0,2022-09-24 12:36:25+05:30,Other
1,2268.0,CHAIBREAK KHARAGPUR,5801.0,2022-09-23 15:51:40+05:30,Other
1,64.0,,5801.0,2022-09-23 12:55:17+05:30,
1,35.0,,5801.0,2022-09-22 20:47:56+05:30,
1,91.0,,5801.0,2022-09-22 20:22:12+05:30,
